,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_early_stopping_rounds,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
763,5.88837833404541,0.13606380221087475,0.11601133346557617,0.00868525451202059,0.6,50,5.0,0.1,1000,6,6,3,0.05,0.5,20,0.4,"{'subsample': 0.6, 'scale_pos_weight': 50, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 6, 'max_depth': 6, 'max_delta_step': 3, 'learning_rate': 0.05, 'gamma': 0.5, 'early_stopping_rounds': 20, 'colsample_bytree': 0.4}",0.1329942241640731,0.14384295521299986,0.16360647397630235,0.16661398664230365,0.15793635719065807,0.1529987994372674,0.012698724925300893,764
764,5.32028751373291,0.49396764199170795,0.11225509643554688,0.007575362242084579,0.6,65,10.0,0.1,1000,4,6,5,0.06,1.0,20,0.4,"{'subsample': 0.6, 'scale_pos_weight': 65, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 4, 'max_depth': 6, 'max_delta_step': 5, 'learning_rate': 0.06, 'gamma': 1, 'early_stopping_rounds': 20, 'colsample_bytree': 0.4}",0.13588107909627437,0.14178279951913478,0.16348750484049102,0.16828611039777236,0.15554425154985338,0.1529963490807052,0.01240168631848925,765
765,9.58497862815857,1.8723166896692907,0.16141247749328613,0.007933882624198854,0.6,50,1.0,0.5,1000,4,6,0,0.025,0.5,20,0.6,"{'subsample': 0.6, 'scale_pos_weight': 50, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 1000, 'min_child_weight': 4, 'max_depth': 6, 'max_delta_step': 0, 'learning_rate': 0.025, 'gamma': 0.5, 'early_stopping_rounds': 20, 'colsample_bytree': 0.6}",0.13175996537467008,0.14461934756809816,0.16337040266531358,0.16658343277361198,0.15864702533995062,0.15299603474432888,0.013002446846646342,766
766,5.3759777545928955,0.9771175939879323,0.0961489200592041,0.010907918295557024,0.7,50,10.0,3.0,1000,5,5,1,0.06,0.3,20,0.75,"{'subsample': 0.7, 'scale_pos_weight': 50, 'reg_lambda': 10, 'reg_alpha': 3, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 5, 'max_delta_step': 1, 'learning_rate': 0.06, 'gamma': 0.3, 'early_stopping_rounds': 20, 'colsample_bytree': 0.75}",0.13332407266802246,0.14059798334076556,0.1621703176471242,0.16924881321874677,0.1596167644503025,0.1529915902649923,0.013659077630123046,767
767,13.002585411071777,1.450425529879387,0.10708575248718262,0.0006324710870134459,0.9,50,5.0,0.1,1000,6,2,3,0.025,1.0,20,0.6,"{'subsample': 0.9, 'scale_pos_weight': 50, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 6, 'max_depth': 2, 'max_delta_step': 3, 'learning_rate': 0.025, 'gamma': 1, 'early_stopping_rounds': 20, 'colsample_bytree': 0.6}",0.13698092742682472,0.14328894485222554,0.16213022128926133,0.16709565375914343,0.15543174895797018,0.15298549925708502,0.011303769508559275,768
768,3.604876470565796,0.23937255468679178,0.07075352668762207,0.0034893813333882417,0.6,65,5.0,0.5,1000,6,4,5,0.1,0.5,20,0.75,"{'subsample': 0.6, 'scale_pos_weight': 65, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 1000, 'min_child_weight': 6, 'max_depth': 4, 'max_delta_step': 5, 'learning_rate': 0.1, 'gamma': 0.5, 'early_stopping_rounds': 20, 'colsample_bytree': 0.75}",0.13157453136406166,0.14165491788468532,0.16410172069872173,0.16962972381106606,0.15795212961722202,0.15298260467515135,0.014227294793717524,769
769,3.309689426422119,0.583295291611448,0.07497215270996094,0.004728261216655909,0.6,15,5.0,3.0,1000,6,6,5,0.1,1.0,20,0.6,"{'subsample': 0.6, 'scale_pos_weight': 15, 'reg_lambda': 5, 'reg_alpha': 3, 'n_estimators': 1000, 'min_child_weight': 6, 'max_depth': 6, 'max_delta_step': 5, 'learning_rate': 0.1, 'gamma': 1, 'early_stopping_rounds': 20, 'colsample_bytree': 0.6}",0.13482717009679485,0.14178844093504012,0.16506833712779395,0.17154680734732342,0.15167997311575998,0.15298214572454244,0.013764595920448135,770
770,4.8479616165161135,1.3053646297509367,0.0858006477355957,0.005130430176324597,0.6,65,0.1,3.0,1000,7,5,3,0.075,2.0,20,0.75,"{'subsample': 0.6, 'scale_pos_weight': 65, 'reg_lambda': 0.1, 'reg_alpha': 3, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 5, 'max_delta_step': 3, 'learning_rate': 0.075, 'gamma': 2, 'early_stopping_rounds': 20, 'colsample_bytree': 0.75}",0.13230700625758826,0.1409823200328089,0.16354778800436257,0.168717271546579,0.15923856286154672,0.15295858974057708,0.013927125841326613,771
771,6.164639854431153,1.0158415907472027,0.11803197860717773,0.010789491063827525,0.6,15,5.0,0.5,1000,5,6,1,0.05,0.5,20,0.5,"{'subsample': 0.6, 'scale_pos_weight': 15, 'reg_lambda': 5, 'reg_alpha': 0.5, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 6, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 0.5, 'early_stopping_rounds': 20, 'colsample_bytree': 0.5}",0.13304418278068214,0.14353742089603222,0.16416874701161993,0.16660197515349695,0.1572535753334027,0.15292118023504678,0.012771777655563721,772
772,4.581159687042236,1.1052748940281667,0.09070625305175781,0.008129466476876264,0.5,65,10.0,3.0,1000,5,6,3,0.075,1.0,20,0.4,"{'subsample': 0.5, 'scale_pos_weight': 65, 'reg_lambda': 10, 'reg_alpha': 3, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 6, 'max_delta_step': 3, 'learning_rate': 0.075, 'gamma': 1, 'early_stopping_rounds': 20, 'colsample_bytree': 0.4}",0.13438769456803237,0.14255026559660838,0.16139776556365504,0.1675120901118085,0.15875667865621554,0.152920898899264,0.012408433847185374,773
773,3.2956088066101072,0.34097960846449615,0.08014211654663086,0.006783370017761283,0.9,15,1.0,3.0,1000,4,6,5,0.1,1.5,20,0.5,"{'subsample': 0.9, 'scale_pos_weight': 15, 'reg_lambda': 1, 'reg_alpha': 3, 'n_estimators': 1000, 'min_child_weight': 4, 'max_depth': 6, 'max_delta_step': 5, 'learning_rate': 0.1, 'gamma': 1.5, 'early_stopping_rounds': 20, 'colsample_bytree': 0.5}",0.13359772432342942,0.1426989365405235,0.16188977305749433,0.17049216700702122,0.15591862240326923,0.15291944466634755,0.013236692127303131,774
774,4.812680673599243,0.7522526951470977,0.09922661781311035,0.0060509105656273605,0.7,50,5.0,1.0,1000,5,6,5,0.06,0.3,20,0.6,"{'subsample': 0.7, 'scale_pos_weight': 50, 'reg_lambda': 5, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 6, 'max_delta_step': 5, 'learning_rate': 0.06, 'gamma': 0.3, 'early_stopping_rounds': 20, 'colsample_bytree': 0.6}",0.1321637251720549,0.14460611715932786,0.1634816893565704,0.16872734357529012,0.15560851307188897,0.15291747766702643,0.013180235630067224,775
775,3.600278615951538,0.33806172923885613,0.0772542953491211,0.004948034641057954,0.8,25,5.0,0.1,1000,6,5,1,0.1,1.0,20,0.7,"{'subsample': 0.8, 'scale_pos_weight': 25, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 6, 'max_depth': 5, 'max_delta_step': 1, 'learning_rate': 0.1, 'gamma': 1, 'early_stopping_rounds': 20, 'colsample_bytree': 0.7}",0.1349170943051517,0.14115026726207014,0.16103043155500935,0.16952593088272036,0.15787565362648193,0.1528998755262867,0.012874189221566761,776
776,5.338386869430542,1.0894647070221595,0.10434918403625489,0.006546148117125966,0.9,50,1.0,3.0,1000,5,6,0,0.06,1.5,20,0.5,"{'subsample': 0.9, 'scale_pos_weight': 50, 'reg_lambda': 1, 'reg_alpha': 3, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 6, 'max_delta_step': 0, 'learning_rate': 0.06, 'gamma': 1.5, 'early_stopping_rounds': 20, 'colsample_bytree': 0.5}",0.13366408460242044,0.14229395002964032,0.16254430325684757,0.16934466723288333,0.15662980234546076,0.15289536149345048,0.013113807386296339,777
777,5.412984943389892,0.9250424074662328,0.10310130119323731,0.0063327958056388954,0.8,15,10.0,0.1,1000,7,6,0,0.06,1.0,20,0.7,"{'subsample': 0.8, 'scale_pos_weight': 15, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 6, 'max_delta_step': 0, 'learning_rate': 0.06, 'gamma': 1, 'early_stopping_rounds': 20, 'colsample_bytree': 0.7}",0.13048949161151488,0.14440719953967296,0.16235374182979637,0.1679984675661843,0.1591685084808457,0.15288348180560285,0.013645426615841354,778
778,17.132590436935423,2.847452085356283,0.28707103729248046,0.025970322220947337,0.9,65,10.0,3.0,1000,7,6,5,0.015,0.3,20,0.75,"{'subsample': 0.9, 'scale_pos_weight': 65, 'reg_lambda': 10, 'reg_alpha': 3, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 6, 'max_delta_step': 5, 'learning_rate': 0.015, 'gamma': 0.3, 'early_stopping_rounds': 20, 'colsample_bytree': 0.75}",0.13295104607952932,0.142714992941524,0.16389776307386966,0.16734671362734688,0.15745939003284243,0.15287398115102246,0.01305479307481265,779
779,6.1031347751617435,1.2009457992422365,0.11748881340026855,0.00413924744441673,0.6,25,0.1,0.0,1000,7,6,0,0.05,1.5,20,0.5,"{'subsample': 0.6, 'scale_pos_weight': 25, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 6, 'max_delta_step': 0, 'learning_rate': 0.05, 'gamma': 1.5, 'early_stopping_rounds': 20, 'colsample_bytree': 0.5}",0.13333124657513123,0.1418210367364507,0.1656759919293584,0.16852926245803218,0.15501133255129207,0.15287377405005292,0.013547203685627271,780
780,5.75368857383728,1.2216275880353002,0.1084207534790039,0.0058397864823047435,0.7,65,10.0,0.1,1000,5,6,3,0.05,1.5,20,0.7,"{'subsample': 0.7, 'scale_pos_weight': 65, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 6, 'max_delta_step': 3, 'learning_rate': 0.05, 'gamma': 1.5, 'early_stopping_rounds': 20, 'colsample_bytree': 0.7}",0.13458848853396388,0.14165228725059997,0.1640596098433879,0.16953662306150183,0.1545315152007677,0.15287370477804424,0.013158989305169075,781
