,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_early_stopping_rounds,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,27.51020423571269,5.636415685043704,1.2654747168223064,0.24573646622491557,0.5,25,100.0,1.0,1000,1,10,5,0.2,0.5,15,1.0,"{'subsample': 0.5, 'scale_pos_weight': 25, 'reg_lambda': 100, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 1, 'max_depth': 10, 'max_delta_step': 5, 'learning_rate': 0.2, 'gamma': 0.5, 'early_stopping_rounds': 15, 'colsample_bytree': 1.0}",0.9798581392505372,0.9987359140862463,0.9960092659178446,0.9915344397515428,0.008331092269360506,1
1,60.89308977127075,17.867503714197117,4.026416619618733,1.1202138716807022,0.8,10,0.1,1.0,1000,1,10,1,0.05,5.0,15,0.7,"{'subsample': 0.8, 'scale_pos_weight': 10, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 1, 'max_depth': 10, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.7}",0.9804830055238497,0.9991868611441725,0.992284166572392,0.9906513444134714,0.007722613327903416,2
2,23.30213737487793,5.090258417382138,1.6560850143432617,0.6643040764174958,1.0,25,10.0,10.0,1000,3,10,10,0.2,0.0,15,1.0,"{'subsample': 1.0, 'scale_pos_weight': 25, 'reg_lambda': 10, 'reg_alpha': 10, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 10, 'max_delta_step': 10, 'learning_rate': 0.2, 'gamma': 0, 'early_stopping_rounds': 15, 'colsample_bytree': 1.0}",0.9747110494675452,0.9993171891777042,0.9955821928140562,0.9898701438197687,0.010827008070679038,3
3,29.703792333602905,6.384257442917214,2.6448634465535483,1.327874752983476,1.0,5,1.0,1.0,1000,3,10,0,0.1,5.0,15,0.9,"{'subsample': 1.0, 'scale_pos_weight': 5, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 10, 'max_delta_step': 0, 'learning_rate': 0.1, 'gamma': 5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.9}",0.9738306647030948,0.9988709232701181,0.9968508066033603,0.9898507981921911,0.011357926031137213,4
4,64.8839880625407,16.067845686950054,4.502828359603882,1.5364611453847428,0.8,50,0.1,1.0,1000,7,10,1,0.05,0.1,15,1.0,"{'subsample': 0.8, 'scale_pos_weight': 50, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 10, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 0.1, 'early_stopping_rounds': 15, 'colsample_bytree': 1.0}",0.9747635283296481,0.9989505862485646,0.9935331668610081,0.9890824271464069,0.010363726990441283,5
5,23.98151357968648,7.4532060804505305,1.654003381729126,0.6456187703499686,1.0,25,1.0,1.0,1000,7,8,5,0.2,5.0,15,0.5,"{'subsample': 1.0, 'scale_pos_weight': 25, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 8, 'max_delta_step': 5, 'learning_rate': 0.2, 'gamma': 5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.5}",0.9804441315083118,0.9992662520102009,0.9875032089260716,0.989071197481528,0.007763675939031323,6
6,36.3808745543162,7.588396798633058,2.0136221249898276,0.676411855772142,0.7,5,100.0,10.0,1000,1,8,0,0.1,1.0,15,0.9,"{'subsample': 0.7, 'scale_pos_weight': 5, 'reg_lambda': 100, 'reg_alpha': 10, 'n_estimators': 1000, 'min_child_weight': 1, 'max_depth': 8, 'max_delta_step': 0, 'learning_rate': 0.1, 'gamma': 1, 'early_stopping_rounds': 15, 'colsample_bytree': 0.9}",0.9757343612569975,0.9983126344810298,0.9927807096197071,0.9889425684525781,0.009608784215805547,7
7,221.1825221379598,69.61781879721781,15.685603857040405,6.424577997682939,0.7,25,10.0,0.1,1000,1,10,1,0.01,0.5,15,0.7,"{'subsample': 0.7, 'scale_pos_weight': 25, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 1, 'max_depth': 10, 'max_delta_step': 1, 'learning_rate': 0.01, 'gamma': 0.5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.7}",0.977033903961365,0.9985951271859062,0.9909273708514703,0.9888521339995805,0.00892380870586112,8
8,19.545166015625,0.32632535640914623,0.9092442989349365,0.07524473261098616,1.0,10,1.0,0.1,1000,7,8,10,0.2,0.1,15,0.5,"{'subsample': 1.0, 'scale_pos_weight': 10, 'reg_lambda': 1, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 8, 'max_delta_step': 10, 'learning_rate': 0.2, 'gamma': 0.1, 'early_stopping_rounds': 15, 'colsample_bytree': 0.5}",0.9804751776786127,0.9964091533543761,0.9876610817713897,0.9881818042681262,0.006515430870782088,9
9,28.208972056706745,3.9156569194505892,1.808233658472697,0.5264174771930649,1.0,5,10.0,1.0,1000,5,8,0,0.1,5.0,15,1.0,"{'subsample': 1.0, 'scale_pos_weight': 5, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 8, 'max_delta_step': 0, 'learning_rate': 0.1, 'gamma': 5, 'early_stopping_rounds': 15, 'colsample_bytree': 1.0}",0.9732438666014289,0.9983674732583752,0.9926140180484277,0.9880751193027439,0.010747095862942568,10
10,27.22928547859192,7.116806829500865,2.034043471018473,0.6934455471032352,0.8,5,0.1,0.0,1000,3,10,10,0.1,5.0,15,0.5,"{'subsample': 0.8, 'scale_pos_weight': 5, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 10, 'max_delta_step': 10, 'learning_rate': 0.1, 'gamma': 5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.5}",0.976683828142913,0.9991610623129004,0.9846742760215658,0.9868397221591264,0.00930316726404218,11
11,76.50108734766643,30.71153741484699,4.341168959935506,1.1781441096100569,1.0,50,100.0,1.0,1000,3,8,1,0.05,0.5,15,0.9,"{'subsample': 1.0, 'scale_pos_weight': 50, 'reg_lambda': 100, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 8, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 0.5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.9}",0.9684305132285647,0.9989495544560175,0.9926824734255346,0.9866875137033723,0.013160740250545776,12
12,32.26267886161804,6.942896050351028,1.9936586221059163,0.5395835392771782,0.5,10,10.0,0.1,1000,5,8,10,0.1,0.1,15,0.9,"{'subsample': 0.5, 'scale_pos_weight': 10, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 8, 'max_delta_step': 10, 'learning_rate': 0.1, 'gamma': 0.1, 'early_stopping_rounds': 15, 'colsample_bytree': 0.9}",0.96898829948148,0.9980784189775518,0.992555847873842,0.9865408554442913,0.012614643964313806,13
13,59.06908933321635,14.44487891442559,3.83717672030131,0.39668799209115413,0.5,25,10.0,0.1,1000,3,8,1,0.05,1.0,15,0.9,"{'subsample': 0.5, 'scale_pos_weight': 25, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 8, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 1, 'early_stopping_rounds': 15, 'colsample_bytree': 0.9}",0.9720081224218139,0.997919951895314,0.9890077751022324,0.9863119498064533,0.01074883969505418,14
14,35.16666571299235,15.052094162512702,1.8981292247772217,0.8170496027736391,0.7,25,1.0,10.0,1000,3,6,10,0.1,0.0,15,0.7,"{'subsample': 0.7, 'scale_pos_weight': 25, 'reg_lambda': 1, 'reg_alpha': 10, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 6, 'max_delta_step': 10, 'learning_rate': 0.1, 'gamma': 0, 'early_stopping_rounds': 15, 'colsample_bytree': 0.7}",0.9669734843882926,0.9988261862292742,0.9911459058832645,0.985648525500277,0.013572387334807387,15
15,42.19508592287699,9.402700171149368,2.534086068471273,0.7506429090103486,0.8,5,1.0,1.0,1000,5,8,10,0.05,0.5,15,1.0,"{'subsample': 0.8, 'scale_pos_weight': 5, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 8, 'max_delta_step': 10, 'learning_rate': 0.05, 'gamma': 0.5, 'early_stopping_rounds': 15, 'colsample_bytree': 1.0}",0.9684243306649256,0.9971682862197261,0.9906838517399054,0.9854254895415191,0.01230965813202923,16
16,66.32846371332805,34.348642092999256,3.2475646336873374,1.0689357513331614,0.5,5,100.0,0.0,1000,5,5,0,0.05,5.0,15,0.9,"{'subsample': 0.5, 'scale_pos_weight': 5, 'reg_lambda': 100, 'reg_alpha': 0, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 5, 'max_delta_step': 0, 'learning_rate': 0.05, 'gamma': 5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.9}",0.9728872420167962,0.9989598404298168,0.9797941901470584,0.9838804241978906,0.011029296699859433,17
