,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_scale_pos_weight,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_max_delta_step,param_learning_rate,param_gamma,param_early_stopping_rounds,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
11,73.18199610710144,25.678568964427672,2.485276222229004,0.7632374111016377,0.5,5,100.0,10.0,1000,1,5,0,0.05,0.5,15,0.7,"{'subsample': 0.5, 'scale_pos_weight': 5, 'reg_lambda': 100, 'reg_alpha': 10, 'n_estimators': 1000, 'min_child_weight': 1, 'max_depth': 5, 'max_delta_step': 0, 'learning_rate': 0.05, 'gamma': 0.5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.7}",0.9411961476037578,0.9959147947064051,0.9724619809429732,0.9698576410843787,0.022414571521821997,12
12,59.46672828992208,22.700468864101516,2.957965930302938,0.7858968032323772,0.5,25,10.0,0.1,1000,3,8,1,0.05,1.0,15,0.9,"{'subsample': 0.5, 'scale_pos_weight': 25, 'reg_lambda': 10, 'reg_alpha': 0.1, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 8, 'max_delta_step': 1, 'learning_rate': 0.05, 'gamma': 1, 'early_stopping_rounds': 15, 'colsample_bytree': 0.9}",0.9449664807717281,0.9970240421209946,0.9670808851823695,0.969690469358364,0.02133236774773432,13
13,16.301859458287556,3.9818580177481726,0.8247639338175455,0.2597806369179383,0.8,5,0.1,1.0,1000,3,8,0,0.2,5.0,15,1.0,"{'subsample': 0.8, 'scale_pos_weight': 5, 'reg_lambda': 0.1, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 8, 'max_delta_step': 0, 'learning_rate': 0.2, 'gamma': 5, 'early_stopping_rounds': 15, 'colsample_bytree': 1.0}",0.9270137770466139,0.9967697219911649,0.9845834789448036,0.9694556593275275,0.03042051017056792,14
14,21.543177286783855,8.006310399770973,1.3220205307006836,0.792430811131218,0.8,5,0.1,0.0,1000,3,10,10,0.1,5.0,15,0.5,"{'subsample': 0.8, 'scale_pos_weight': 5, 'reg_lambda': 0.1, 'reg_alpha': 0, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 10, 'max_delta_step': 10, 'learning_rate': 0.1, 'gamma': 5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.5}",0.9397316283736905,0.9980466522646698,0.9674591784296748,0.9684124863560117,0.023816550265913613,15
15,20.639970699946087,5.384452857328576,0.7055656909942627,0.10916907016103511,0.8,10,10.0,1.0,1000,5,5,1,0.2,0.5,15,0.5,"{'subsample': 0.8, 'scale_pos_weight': 10, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 5, 'max_delta_step': 1, 'learning_rate': 0.2, 'gamma': 0.5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.5}",0.935644877270661,0.9950549140626382,0.9742972706013233,0.9683323539782075,0.024618059639846566,16
16,18.049570242563885,3.644448976821085,0.6867344379425049,0.09300676794697153,1.0,25,1.0,1.0,1000,7,8,5,0.2,5.0,15,0.5,"{'subsample': 1.0, 'scale_pos_weight': 25, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 8, 'max_delta_step': 5, 'learning_rate': 0.2, 'gamma': 5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.5}",0.9389466300116689,0.9960178432787532,0.9691764464610715,0.9680469732504978,0.02331290956021731,17
17,47.65333032608032,11.458913260693892,2.29447070757548,0.41657864883742846,1.0,5,100.0,1.0,1000,5,6,0,0.05,0.1,15,0.9,"{'subsample': 1.0, 'scale_pos_weight': 5, 'reg_lambda': 100, 'reg_alpha': 1, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 6, 'max_delta_step': 0, 'learning_rate': 0.05, 'gamma': 0.1, 'early_stopping_rounds': 15, 'colsample_bytree': 0.9}",0.9467253671666248,0.9939369352919678,0.9633178608888547,0.9679933877824825,0.019555535533675245,18
18,53.69172398249308,32.66077128924556,1.6326289971669514,0.9440424088238274,1.0,25,1.0,10.0,1000,5,4,5,0.1,5.0,15,0.5,"{'subsample': 1.0, 'scale_pos_weight': 25, 'reg_lambda': 1, 'reg_alpha': 10, 'n_estimators': 1000, 'min_child_weight': 5, 'max_depth': 4, 'max_delta_step': 5, 'learning_rate': 0.1, 'gamma': 5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.5}",0.9202446635953859,0.9976246497183807,0.9836998571569021,0.9671897234902228,0.03367841987947601,19
19,32.228601932525635,6.907283973352831,1.0434783299763997,0.1626507885918668,1.0,5,0.1,10.0,1000,7,5,1,0.1,0.5,15,0.5,"{'subsample': 1.0, 'scale_pos_weight': 5, 'reg_lambda': 0.1, 'reg_alpha': 10, 'n_estimators': 1000, 'min_child_weight': 7, 'max_depth': 5, 'max_delta_step': 1, 'learning_rate': 0.1, 'gamma': 0.5, 'early_stopping_rounds': 15, 'colsample_bytree': 0.5}",0.9312066709653286,0.9934250483696547,0.9760436145636818,0.9668917779662217,0.026211940110526567,20
20,26.91184337933858,9.922270320777905,1.1631750265757244,0.5682103362468016,0.7,25,1.0,10.0,1000,3,6,10,0.1,0.0,15,0.7,"{'subsample': 0.7, 'scale_pos_weight': 25, 'reg_lambda': 1, 'reg_alpha': 10, 'n_estimators': 1000, 'min_child_weight': 3, 'max_depth': 6, 'max_delta_step': 10, 'learning_rate': 0.1, 'gamma': 0, 'early_stopping_rounds': 15, 'colsample_bytree': 0.7}",0.9319694945346625,0.9959732191294888,0.9720222680456695,0.9666549939032736,0.026403597157613663,21
